navaid_id,dme_frequency_khz,dme_channel,dme_latitude_deg,dme_longitude_deg
86002,112000,057X,,
86013,113500,082X,,
86015,112050,057Y,,
86016,115400,101X,,
86019,114200,089X,-32.00080000,141.48000000
86023,112000,057X,,
86025,117900,126X,,
86031,117700,124X,,
86046,109000,027X,,
86048,114900,096X,,
86049,116900,116X,,
86050,115100,098X,,
86051,109600,033X,,
86052,116800,115X,-34.17890000,150.10700000
86053,112500,072X,,
86055,114500,092X,,
86057,115000,097X,,
86058,114300,090X,,
86059,116500,112X,,
86062,111800,055X,,
86063,114200,089X,,
86064,112900,076X,,
86068,112300,070X,,
86072,115400,101X,,
86073,113500,082X,,
86075,108600,023X,,
86080,115800,105X,,
86095,113800,085X,,
86096,117700,124X,,
86098,115300,100X,,
86101,109600,033X,,
86102,117700,124X,,
86104,109150,028Y,,
86105,114300,090X,,
86107,113700,084X,,
86110,115800,105X,,
86117,117700,124X,,
86118,108800,025X,,
86119,115100,098X,,
86120,116250,109Y,,
86121,117300,120X,,
86140,116700,114X,,
86141,116100,108X,,
86143,116100,108X,,
86145,116200,109X,,
86146,114600,093X,,
86147,116700,114X,,
86149,110000,037X,,
86150,113600,083X,,
86151,117400,121X,,
86152,113700,084X,,
86153,116200,109X,,
86156,117450,121Y,,
86157,116200,109X,38.15250000,-3.62507000
86159,117500,122X,,
86160,112100,058X,,
86161,116900,116X,,
86164,116700,114X,,
86165,114100,088X,,
86166,115900,106X,,
86177,117900,126X,,
86179,113750,084Y,44.82720000,-0.72327800
86181,108200,019X,,
86182,110400,041X,,
86184,117450,121Y,,
86187,112100,058X,,
86189,113200,079X,,
86190,112500,072X,,
86202,114100,088X,,
86203,115900,106X,,
86204,117400,121X,,
86205,114400,091X,,
86210,113100,078X,,
86211,114500,092X,,
86212,117000,117X,,
86213,117200,119X,,
86216,112400,071X,,
86219,111000,047X,,
86220,116300,110X,,
86221,115300,100X,,
86222,113750,084Y,,
86223,113900,086X,,
86228,117450,121Y,,
